confidence,confluence,p_success,atr,atr_pct,approx_stop_pct,minutes_since_midnight,minutes_to_eod_flatten,belief_posterior,qty,risk_rupees,is_futures,is_contaminated_futures,is_clean,is_short_hold,is_quality_hold,hold_bucket,exit_quality,y_binary,honest_pnl,y_R,hold_sec,symbol,signal_id,buy_time,sell_time,buy_price,sell_price,fees,atr_source,model_version,feature_hash,regime_id,meta_prob,portfolio_heat_at_entry,is_synthetic,tbm_label,tbm_touch_sec,tbm_ret,y_meta,avg_uniqueness
0.597034875511702,73.6,0.6764270463849127,22.144148857780333,0.0169634965862053,0.025445244879308,445,134.55340661666668,0.251207729468599,1.0,33.2162232866705,0,0,1,0,1,>15m,quality,1,1.9099267578125,0.0574998169216589,8014.611162,RELIANCE,147,2026-08-14 07:25:26.795603,2026-08-14 09:39:01.406765,1305.4000244140625,1309.699951171875,2.39,price_bars,v3_baseline,f5345ea443dc,0,,,0,0,1800.0,0.224519624530383,0,0.2112955620768121
0.597034875511702,73.6,0.6764270463849127,6.81638308748654,0.0213914427053178,0.0320871640579768,469,110.12204475,0.251207729468599,2.0,20.44914926245962,0,0,1,0,1,>15m,quality,0,-2.37001220703125,-0.1158978389082473,6548.740686,BPCL,571,2026-08-14 07:49:52.677315,2026-08-14 09:39:01.418001,318.6499938964844,318.04998779296875,1.17,price_bars,v3_baseline,a23d3eb8bbde,0,,,0,0,1800.0,-0.125338008878889,0,0.15871526621526627
0.597034875511702,73.6,0.6764270463849127,6.290911349022943,0.025093384226573,0.0376400763398596,469,110.1219125,0.251207729468599,3.0,28.309101070603248,0,0,1,0,1,>15m,quality,0,-3.4699908447265626,-0.122575098236866,6548.736512,JIOFIN,583,2026-08-14 07:49:52.685250,2026-08-14 09:39:01.421762,250.6999969482422,250.0,1.37,price_bars,v3_baseline,e56b6470b376,0,,,0,-1,1444.3328648020051,-1.0105677341290522,0,0.13433778523064235
0.597034875511702,73.6,0.6764270463849127,3.643034173190915,0.0197465123568761,0.0296197685353142,469,110.12184618333336,0.251207729468599,3.0,16.393653779359116,0,0,1,0,1,>15m,quality,0,-2.120031127929688,-0.1293202330891586,6548.735414,WIPRO,590,2026-08-14 07:49:52.689229,2026-08-14 09:39:01.424643,184.4900054931641,184.1199951171875,1.01,price_bars,v3_baseline,014e6903924f,0,,,0,0,1800.0,-0.6347320934867389,0,0.11903043537658921
0.5845254859939495,70.4,0.6536827018071808,1.8874913676351763,0.0509306880111311,0.0763960320166967,469,110.12178411666667,0.251207729468599,2.0,5.662474102905529,0,0,1,0,1,>15m,quality,0,-0.5200048828125,-0.0918335118823192,6548.734422,VISL,540,2026-08-14 07:49:52.692953,2026-08-14 09:39:01.427375,37.060001373291016,36.869998931884766,0.14,price_bars,v3_baseline,cb521d20d461,0,,,0,1,475.97317854135343,1.0685803592218261,1,0.10811630499130498
0.597034875511702,73.6,0.6764270463849127,35.47398585835256,0.017760080817441,0.0266401212261616,477,102.54488958333332,0.251207729468599,4.0,212.8439151501153,0,0,1,0,1,>15m,quality,0,-43.7801953125,-0.2056915523360042,6094.123507,BHARTIARTL,1575,2026-08-14 07:57:27.306625,2026-08-14 09:39:01.430132,1997.4000244140625,1990.0999755859373,14.58,price_bars,v3_baseline,82272e72fee3,0,,,0,0,1800.0,-0.5518902852242418,0,0.09976324180869636
0.597034875511702,73.6,0.6764270463849127,29.39731558550506,0.0252012992588984,0.0378019488883476,478,101.45065951666668,0.251207729468599,6.0,264.57584026954555,0,0,1,0,1,>15m,quality,0,-9.46970703125,-0.0357920323397722,6028.45451,INFY,1864,2026-08-14 07:58:32.960429,2026-08-14 09:39:01.414939,1166.5,1169.800048828125,29.27,price_bars,v3_baseline,e66882d55593,0,,,0,-1,302.17817092731826,-1.0218707174043358,0,0.09307289932289932
0.597034875511702,73.6,0.6764270463849127,27.986986297753354,0.0257091557279242,0.0385637335918863,520,59.9964428,0.251207729468599,3.0,125.94143833989008,0,0,1,0,1,>15m,quality,0,-8.6600732421875,-0.0687626992064021,3541.219491,BAJFINANCE,7308,2026-08-14 08:40:00.213432,2026-08-14 09:39:01.432923,1088.5999755859375,1087.699951171875,5.96,price_bars,v3_baseline,ccef38df16f8,0,,,0,0,1800.0,0.1679106556998077,0,0.08754131670798337
0.597034875511702,73.6,0.6764270463849127,32.384658235464954,0.0237337180179296,0.0356005770268944,520,59.99610621666667,0.251207729468599,1.0,48.57698735319743,0,0,1,0,1,>15m,quality,0,-5.689951171875,-0.1171326482332889,3541.202032,HCLTECH,7311,2026-08-14 08:40:00.233627,2026-08-14 09:39:01.435659,1364.5,1361.300048828125,2.49,price_bars,v3_baseline,c9c7a751fca4,0,,,0,-1,1686.286681904762,-1.0251808905166435,0,0.0828589812964813
0.597034875511702,73.6,0.6764270463849127,1257.3167977773053,0.0216821352534479,0.0325232028801718,520,59.99586035,0.251207729468599,0.0156,29.421213067988944,0,0,1,0,1,>15m,quality,0,-19.533586116821304,-0.6639286446714994,3541.190237,BNBUSDT,7388,2026-08-14 08:40:00.248379,2026-08-14 09:39:01.438616,57988.6059689331,58033.24788452148,20.23,price_bars,v3_baseline,e5a8eecfcdfc,0,,,0,1,1215.897399671679,1.0212360061135592,1,0.07882296275153418
